Date,Time,Precip(mm)
04 May 2014,00:00,1.7601976
05 May 2014,00:00,1.3655851
05 May 2014,00:00,1.3655851
06 May 2014,00:00,3.328858
06 May 2014,00:00,3.328858
07 May 2014,00:00,10.261772
07 May 2014,00:00,10.261772
08 May 2014,00:00,2.2537298
08 May 2014,00:00,2.2537298
09 May 2014,00:00,5.1930494
09 May 2014,00:00,5.1930494
10 May 2014,00:00,13.520323
10 May 2014,00:00,13.520323
11 May 2014,00:00,10.430667
11 May 2014,00:00,10.430667
12 May 2014,00:00,10.86184
12 May 2014,00:00,10.86184
13 May 2014,00:00,1.1944212
13 May 2014,00:00,1.1944212
14 May 2014,00:00,0.014338642
14 May 2014,00:00,0.014338642
15 May 2014,00:00,0.95365566
15 May 2014,00:00,0.95365566
16 May 2014,00:00,0.049076974
16 May 2014,00:00,0.049076974
17 May 2014,00:00,0.0022351742
17 May 2014,00:00,0.0022351742
18 May 2014,00:00,0.14505908
18 May 2014,00:00,0.14505908
19 May 2014,00:00,1.8390436
19 May 2014,00:00,1.8390436
20 May 2014,00:00,1.7089844
20 May 2014,00:00,1.7089844
21 May 2014,00:00,0.284411
21 May 2014,00:00,0.284411
22 May 2014,00:00,3.8108938
22 May 2014,00:00,3.8108938
23 May 2014,00:00,1.980828
23 May 2014,00:00,1.980828
24 May 2014,00:00,3.57225
24 May 2014,00:00,3.57225
25 May 2014,00:00,9.447457
25 May 2014,00:00,9.447457
26 May 2014,00:00,1.5099198
26 May 2014,00:00,1.5099198
27 May 2014,00:00,0.26598573
27 May 2014,00:00,0.26598573
28 May 2014,00:00,8.0643635
28 May 2014,00:00,8.0643635
29 May 2014,00:00,0.5152598
29 May 2014,00:00,0.5152598
30 May 2014,00:00,0.0155661255
30 May 2014,00:00,0.0155661255
31 May 2014,00:00,0.0
31 May 2014,00:00,0.0
01 Jun 2014,00:00,2.2150054
01 Jun 2014,00:00,2.2150054
02 Jun 2014,00:00,3.3588018
02 Jun 2014,00:00,3.3588018
03 Jun 2014,00:00,2.1177363
03 Jun 2014,00:00,2.1177363
04 Jun 2014,00:00,12.677459
04 Jun 2014,00:00,12.677459
05 Jun 2014,00:00,3.2572708
05 Jun 2014,00:00,3.2572708
06 Jun 2014,00:00,0.0018775463
06 Jun 2014,00:00,0.0018775463
07 Jun 2014,00:00,12.075028
07 Jun 2014,00:00,12.075028
08 Jun 2014,00:00,2.445087
08 Jun 2014,00:00,2.445087
09 Jun 2014,00:00,7.759098
09 Jun 2014,00:00,7.759098
10 Jun 2014,00:00,7.931877
10 Jun 2014,00:00,7.931877
11 Jun 2014,00:00,1.1085905
11 Jun 2014,00:00,1.1085905
12 Jun 2014,00:00,0.18750876
12 Jun 2014,00:00,0.18750876
13 Jun 2014,00:00,1.4516674
13 Jun 2014,00:00,1.4516674
14 Jun 2014,00:00,1.0997727
14 Jun 2014,00:00,1.0997727
15 Jun 2014,00:00,0.61840194
15 Jun 2014,00:00,0.61840194
16 Jun 2014,00:00,0.052401796
16 Jun 2014,00:00,0.052401796
17 Jun 2014,00:00,0.23025833
17 Jun 2014,00:00,0.23025833
18 Jun 2014,00:00,0.057963654
18 Jun 2014,00:00,0.057963654
19 Jun 2014,00:00,0.9447523
19 Jun 2014,00:00,0.9447523
20 Jun 2014,00:00,0.13219751
20 Jun 2014,00:00,0.13219751
21 Jun 2014,00:00,0.21465309
21 Jun 2014,00:00,0.21465309
22 Jun 2014,00:00,0.30627286
22 Jun 2014,00:00,0.30627286
23 Jun 2014,00:00,0.49306822
23 Jun 2014,00:00,0.49306822
24 Jun 2014,00:00,1.1840072
24 Jun 2014,00:00,1.1840072
25 Jun 2014,00:00,1.6422142
25 Jun 2014,00:00,1.6422142
26 Jun 2014,00:00,0.1923386
26 Jun 2014,00:00,0.1923386
27 Jun 2014,00:00,0.11299364
27 Jun 2014,00:00,0.11299364
28 Jun 2014,00:00,0.33204818
28 Jun 2014,00:00,0.33204818
29 Jun 2014,00:00,0.36107564
29 Jun 2014,00:00,0.36107564
30 Jun 2014,00:00,0.0
30 Jun 2014,00:00,0.0
01 Jul 2014,00:00,0.64215064
01 Jul 2014,00:00,0.64215064
02 Jul 2014,00:00,0.4960187
02 Jul 2014,00:00,0.4960187
03 Jul 2014,00:00,0.5820822
03 Jul 2014,00:00,0.5820822
04 Jul 2014,00:00,9.512215
04 Jul 2014,00:00,9.512215
05 Jul 2014,00:00,4.895415
05 Jul 2014,00:00,4.895415
06 Jul 2014,00:00,0.9833072
